time	dest	src	seqn	hops
00:34.162	1	5	0	2
00:34.661	1	4	0	2
00:38.164	1	2	0	1
00:38.663	1	10	0	2
00:40.412	1	6	0	1
00:41.913	1	9	0	3
00:42.288	1	8	0	4
00:44.912	1	3	0	4
00:45.037	1	7	0	1
01:02.163	1	10	1	2
01:04.411	1	2	1	1
01:05.037	1	7	1	1
01:05.913	1	5	1	1
01:07.537	1	9	1	3
01:08.663	1	4	1	2
01:14.788	1	6	1	1
01:15.664	1	8	1	4
01:31.412	1	7	2	1
01:31.913	1	10	2	2
01:33.661	1	2	2	1
01:35.288	1	5	2	1
01:37.537	1	9	2	3
01:38.037	1	8	2	4
01:39.288	1	6	2	1
01:39.662	1	4	2	2
01:40.413	1	3	2	4
02:03.413	1	5	3	1
02:05.289	1	3	3	4
02:05.912	1	4	3	2
02:10.412	1	6	3	1
02:11.414	1	10	3	2
02:11.538	1	9	3	3
02:11.547	1	8	3	4
02:11.913	1	7	3	1
02:13.287	1	2	3	1
02:33.287	1	10	4	2
02:34.041	1	8	4	4
02:34.414	1	3	4	4
02:34.538	1	6	4	1
02:38.913	1	7	4	1
02:42.039	1	5	4	1
02:45.413	1	2	4	1
03:01.413	1	5	5	1
03:03.413	1	4	5	2
03:06.288	1	8	5	4
03:07.162	1	10	5	2
03:08.787	1	3	5	3
03:14.662	1	7	5	1
03:14.914	1	9	5	3
03:15.288	1	6	5	1
03:31.164	1	4	6	2
03:36.037	1	3	6	3
03:36.162	1	6	6	1
03:36.537	1	7	6	1
03:37.163	1	8	6	4
03:38.163	1	10	6	2
03:40.039	1	5	6	1
03:42.163	1	9	6	3
03:44.412	1	2	6	1
04:03.038	1	9	7	3
04:03.413	1	5	7	1
04:03.787	1	10	7	2
04:04.787	1	2	7	1
04:06.913	1	8	7	4
04:10.164	1	6	7	1
04:12.163	1	3	7	3
04:12.914	1	4	7	2
04:14.413	1	7	7	1
04:31.911	1	10	8	2
04:33.288	1	7	8	1
04:35.913	1	3	8	3
04:37.787	1	5	8	1
04:39.787	1	6	8	1
04:40.039	1	2	8	1
04:40.662	1	8	8	4
04:43.162	1	9	8	3
04:43.412	1	4	8	2
05:02.038	1	4	9	2
05:04.287	1	3	9	3
05:04.663	1	5	9	1
05:05.412	1	7	9	1
05:06.412	1	6	9	1
05:06.662	1	2	9	1
05:06.789	1	10	9	2
05:07.789	1	9	9	3
05:08.412	1	8	9	4
05:31.914	1	7	10	1
05:32.038	1	6	10	1
05:33.289	1	8	10	4
05:33.412	1	5	10	1
05:37.538	1	4	10	2
05:39.164	1	3	10	3
05:43.037	1	10	10	2
05:43.539	1	2	10	1
05:43.788	1	9	10	3
06:02.663	1	9	11	3
06:03.538	1	4	11	2
06:05.539	1	3	11	3
06:06.287	1	8	11	4
06:09.038	1	5	11	1
06:10.289	1	10	11	2
06:10.538	1	7	11	1
06:11.164	1	6	11	1
06:15.289	1	2	11	1
06:31.164	1	4	12	2
06:32.663	1	8	12	4
06:32.787	1	2	12	1
06:35.163	1	6	12	1
06:36.037	1	7	12	1
06:39.916	1	5	12	1
06:40.039	1	10	12	2
06:40.912	1	9	12	3
06:44.037	1	3	12	3
07:01.912	1	2	13	1
07:03.913	1	8	13	4
07:07.412	1	3	13	3
07:07.786	1	9	13	3
07:08.663	1	10	13	2
07:09.913	1	6	13	1
07:12.037	1	4	13	2
07:13.538	1	7	13	1
07:34.412	1	6	14	1
07:36.912	1	9	14	3
07:39.537	1	4	14	2
07:40.288	1	7	14	1
07:41.163	1	10	14	2
07:42.289	1	2	14	1
07:43.789	1	5	14	1
07:44.662	1	8	14	4
07:46.162	1	3	14	3
08:01.037	1	8	15	4
08:02.664	1	3	15	3
08:03.413	1	2	15	1
08:04.662	1	9	15	3
08:06.164	1	7	15	1
08:08.038	1	4	15	2
08:09.163	1	6	15	1
08:09.289	1	5	15	1
08:14.539	1	10	15	2
08:34.289	1	10	16	2
08:34.412	1	6	16	1
08:36.039	1	5	16	1
08:38.787	1	7	16	1
08:42.163	1	2	16	1
08:43.414	1	9	16	3
08:45.163	1	3	16	3
09:02.912	1	2	17	1
09:03.287	1	5	17	1
09:04.412	1	4	17	2
09:05.539	1	6	17	1
09:07.038	1	8	17	4
09:07.662	1	10	17	2
09:09.412	1	9	17	3
09:11.787	1	7	17	1
09:15.539	1	3	17	3
09:32.163	1	4	18	2
09:34.161	1	3	18	3
09:39.163	1	5	18	1
09:42.537	1	2	18	1
09:43.289	1	10	18	2
09:43.788	1	7	18	1
09:43.911	1	6	18	1
10:02.537	1	7	19	1
10:02.914	1	5	19	1
10:03.413	1	6	19	1
10:06.289	1	3	19	3
10:07.039	1	4	19	2
10:11.037	1	2	19	1
10:12.413	1	8	19	4
10:13.662	1	10	19	2
10:13.913	1	9	19	3
10:34.163	1	3	20	3
10:36.787	1	8	20	4
10:37.414	1	9	20	3
10:41.037	1	10	20	2
10:41.287	1	5	20	1
10:41.914	1	2	20	1
10:42.162	1	4	20	2
10:44.913	1	7	20	1
10:45.038	1	6	20	1
11:01.537	1	9	21	3
11:02.162	1	7	21	1
11:03.788	1	4	21	2
11:04.412	1	2	21	1
11:08.539	1	5	21	1
11:09.663	1	8	21	4
11:12.412	1	3	21	3
11:13.288	1	6	21	1
11:14.912	1	10	21	2
11:32.787	1	6	22	1
11:36.912	1	5	22	1
11:37.413	1	8	22	4
11:40.789	1	4	22	2
11:41.037	1	2	22	1
11:42.164	1	7	22	1
11:42.913	1	3	22	3
11:45.536	1	10	22	2
11:46.287	1	9	22	3
12:01.912	1	9	23	3
12:02.536	1	3	23	3
12:03.539	1	8	23	4
12:04.539	1	7	23	1
12:06.413	1	2	23	1
12:07.788	1	6	23	1
12:10.536	1	10	23	2
12:12.662	1	4	23	2
12:14.036	1	5	23	1
12:31.412	1	6	24	1
12:34.037	1	8	24	4
12:37.411	1	2	24	1
12:37.913	1	4	24	2
12:38.538	1	3	24	3
12:43.537	1	5	24	1
12:44.287	1	9	24	3
12:44.539	1	7	24	1
12:44.662	1	10	24	2
13:01.914	1	6	25	1
13:02.289	1	8	25	4
13:03.538	1	5	25	1
13:03.664	1	2	25	1
13:04.162	1	7	25	1
13:13.036	1	4	25	2
13:13.536	1	3	25	3
13:14.288	1	10	25	2
13:15.662	1	9	25	3
13:31.412	1	4	26	2
13:32.288	1	7	26	1
13:33.788	1	3	26	3
13:36.412	1	10	26	2
13:38.537	1	6	26	1
13:39.162	1	5	26	1
13:39.538	1	2	26	1
13:44.162	1	8	26	4
13:44.912	1	9	26	3
14:01.912	1	6	27	1
14:08.662	1	10	27	2
14:08.787	1	2	27	1
