time	dest	src	seqn
00:34.001	1	5	0
00:34.501	1	4	0
00:38.124	1	2	0
00:38.506	1	10	0
00:40.303	1	6	0
00:41.526	1	9	0
00:41.757	1	8	0
00:44.521	1	3	0
00:44.954	1	7	0
01:01.515	1	10	1
01:04.382	1	2	1
01:04.930	1	7	1
01:05.798	1	5	1
01:07.190	1	9	1
01:08.447	1	4	1
01:14.078	1	8	1
01:14.092	1	3	1
01:14.279	1	6	1
01:31.274	1	7	2
01:31.733	1	10	2
01:33.554	1	2	2
01:35.149	1	5	2
01:37.299	1	9	2
01:37.625	1	8	2
01:39.193	1	6	2
01:39.486	1	4	2
01:40.061	1	3	2
02:03.384	1	5	3
02:04.849	1	3	3
02:05.495	1	9	3
02:05.744	1	4	3
02:07.210	1	10	3
02:10.357	1	6	3
02:10.601	1	8	3
02:11.844	1	7	3
02:13.217	1	2	3
02:31.783	1	9	4
02:31.845	1	4	4
02:32.344	1	8	4
02:32.709	1	3	4
02:32.975	1	10	4
02:34.466	1	6	4
02:38.813	1	7	4
02:41.978	1	5	4
02:45.327	1	2	4
03:01.337	1	5	5
03:02.916	1	4	5
03:05.945	1	8	5
03:07.030	1	10	5
03:07.522	1	2	5
03:07.552	1	3	5
03:14.602	1	7	5
03:14.643	1	9	5
03:15.162	1	6	5
03:30.963	1	4	6
03:35.795	1	3	6
03:35.959	1	6	6
03:36.461	1	7	6
03:36.788	1	8	6
03:37.928	1	10	6
03:39.908	1	5	6
03:41.877	1	9	6
03:44.319	1	2	6
04:02.510	1	9	7
04:02.955	1	5	7
04:03.499	1	10	7
04:04.671	1	2	7
04:06.484	1	8	7
04:10.044	1	6	7
04:11.896	1	3	7
04:12.689	1	4	7
04:14.282	1	7	7
04:31.663	1	10	8
04:33.251	1	7	8
04:35.631	1	3	8
04:37.665	1	5	8
04:39.654	1	6	8
04:39.905	1	2	8
04:40.281	1	8	8
04:42.932	1	9	8
04:43.173	1	4	8
05:01.683	1	4	9
05:04.014	1	3	9
05:04.525	1	5	9
05:05.289	1	7	9
05:05.546	1	10	9
05:05.599	1	6	9
05:06.538	1	2	9
05:07.471	1	9	9
05:08.132	1	8	9
05:31.766	1	7	10
05:31.998	1	6	10
05:32.976	1	8	10
05:33.345	1	5	10
05:37.354	1	4	10
05:38.936	1	3	10
05:42.772	1	10	10
05:42.831	1	9	10
05:43.499	1	2	10
06:02.401	1	9	11
06:03.267	1	4	11
06:05.225	1	3	11
06:05.922	1	8	11
06:08.892	1	5	11
06:10.116	1	10	11
06:10.493	1	7	11
06:11.068	1	6	11
06:15.257	1	2	11
06:30.900	1	4	12
06:32.219	1	8	12
06:32.593	1	2	12
06:35.115	1	6	12
06:35.977	1	7	12
06:39.350	1	10	12
06:39.368	1	5	12
06:40.565	1	9	12
06:43.733	1	3	12
07:01.798	1	2	13
07:02.320	1	8	13
07:02.353	1	5	13
07:07.084	1	3	13
07:07.448	1	9	13
07:08.484	1	10	13
07:09.841	1	6	13
07:11.877	1	4	13
07:13.485	1	7	13
07:34.326	1	6	14
07:36.674	1	9	14
07:39.322	1	4	14
07:40.157	1	7	14
07:40.944	1	10	14
07:42.186	1	2	14
07:43.712	1	5	14
07:44.359	1	8	14
07:45.928	1	3	14
08:00.648	1	8	15
08:02.373	1	3	15
08:03.194	1	2	15
08:04.370	1	9	15
08:06.071	1	7	15
08:07.861	1	4	15
08:08.783	1	5	15
08:08.834	1	6	15
08:14.288	1	10	15
08:34.038	1	10	16
08:34.185	1	6	16
08:34.619	1	4	16
08:34.752	1	5	16
08:34.828	1	8	16
08:38.704	1	7	16
08:42.046	1	2	16
08:43.159	1	9	16
08:44.912	1	3	16
09:02.866	1	2	17
09:03.220	1	5	17
09:04.220	1	4	17
09:05.420	1	6	17
09:06.742	1	8	17
09:07.421	1	10	17
09:09.167	1	9	17
09:11.680	1	7	17
09:15.280	1	3	17
09:31.955	1	4	18
09:33.842	1	3	18
09:34.252	1	9	18
09:34.335	1	8	18
09:39.134	1	5	18
09:42.413	1	2	18
09:43.147	1	10	18
09:43.664	1	7	18
09:43.772	1	6	18
10:02.423	1	7	19
